size,time s,GFlops
100,0.000196,10.205
200,0.001421,11.262
300,0.004712,11.460
400,0.010913,11.729
500,0.021169,11.810
600,0.036668,11.781
700,0.058025,11.823
800,0.086819,11.795
900,0.123392,11.816
1000,0.169119,11.826
1100,0.225457,11.807
1200,0.292690,11.808
1300,0.372952,11.782
1400,0.465465,11.790
1500,0.575266,11.734
1600,0.697722,11.741
1700,0.839890,11.699
1800,0.994530,11.728
1900,1.178146,11.644
2000,1.361353,11.753
2100,1.586521,11.675
2200,1.813091,11.746
2300,2.079555,11.702
2400,2.354895,11.741
2500,2.673298,11.690
2600,2.994089,11.740
2700,3.368675,11.686
2800,3.735924,11.752
2900,4.185303,11.655
3000,4.594626,11.753
