size,time s,GFlops
100,0.000062,32.099
200,0.000338,47.338
300,0.001019,52.977
400,0.002294,55.788
500,0.004197,59.561
600,0.007105,60.802
700,0.010950,62.646
800,0.016912,60.548
900,0.023573,61.850
1000,0.032133,62.242
1100,0.042800,62.196
1200,0.057008,60.623
1300,0.071777,61.217
1400,0.088784,61.813
1500,0.111105,60.753
1600,0.136547,59.994
1700,0.166557,58.995
1800,0.192731,60.520
1900,0.233070,58.858
2000,0.264310,60.535
2100,0.317247,58.384
2200,0.349853,60.871
2300,0.406623,59.844
2400,0.458848,60.255
2500,0.531774,58.766
2600,0.574602,61.176
2700,0.675410,58.285
2800,0.715222,61.385
2900,0.836599,58.305
3000,0.880663,61.317
