size,time s,GFlops
100,0.000061,32.598
200,0.000330,48.489
300,0.001002,53.893
400,0.002273,56.321
500,0.004168,59.976
600,0.007110,60.756
700,0.010913,62.861
800,0.017004,60.221
900,0.023585,61.818
1000,0.032057,62.389
1100,0.042645,62.422
1200,0.056451,61.221
1300,0.072258,60.810
1400,0.089353,61.419
1500,0.112101,60.214
1600,0.137112,59.747
1700,0.167900,58.523
1800,0.193304,60.340
1900,0.233050,58.863
2000,0.264425,60.509
2100,0.317030,58.423
2200,0.347896,61.214
2300,0.406925,59.800
2400,0.459833,60.126
2500,0.531590,58.786
2600,0.577028,60.919
2700,0.675176,58.305
2800,0.716924,61.239
2900,0.833230,58.541
3000,0.880588,61.323
