size,time s,GFlops
100,0.000064,31.069
200,0.000336,47.617
300,0.001015,53.184
400,0.002275,56.264
500,0.004179,59.827
600,0.007097,60.868
700,0.010853,63.208
800,0.016827,60.853
900,0.023450,62.174
1000,0.031792,62.908
1100,0.042430,62.739
1200,0.056007,61.707
1300,0.071412,61.530
1400,0.088463,62.037
1500,0.111044,60.787
1600,0.135912,60.274
1700,0.166785,58.914
1800,0.192746,60.515
1900,0.232760,58.936
2000,0.262590,60.932
2100,0.316235,58.570
2200,0.348084,61.181
2300,0.406104,59.921
2400,0.456790,60.527
2500,0.531531,58.792
2600,0.576922,60.930
2700,0.675048,58.316
2800,0.716431,61.282
2900,0.833709,58.507
3000,0.881132,61.285
