size,time s,GFlops
100,0.000075,26.546
200,0.000368,43.483
300,0.001168,46.245
400,0.002535,50.486
500,0.004773,52.382
600,0.007875,54.857
700,0.012447,55.114
800,0.018704,54.749
900,0.026456,55.111
1000,0.035511,56.321
1100,0.047765,55.732
1200,0.062090,55.661
1300,0.079338,55.383
1400,0.097009,56.572
1500,0.120784,55.885
1600,0.147881,55.396
1700,0.176446,55.689
1800,0.206478,56.490
1900,0.245412,55.898
2000,0.284078,56.323
2100,0.333485,55.541
2200,0.374874,56.808
2300,0.430917,56.470
2400,0.491381,56.266
2500,0.559304,55.873
2600,0.618661,56.819
2700,0.707341,55.654
2800,0.779404,56.330
2900,0.871586,55.965
3000,0.947144,57.014
