size,time s,GFlops
100,0.000071,28.181
200,0.000384,41.665
300,0.001200,45.001
400,0.002632,48.638
500,0.004879,51.240
600,0.008055,53.631
700,0.012670,54.145
800,0.019222,53.272
900,0.027003,53.995
1000,0.036272,55.139
1100,0.048692,54.671
1200,0.063648,54.299
1300,0.081056,54.210
1400,0.099756,55.014
1500,0.124046,54.415
1600,0.151296,54.146
1700,0.181769,54.058
1800,0.212693,54.840
1900,0.252593,54.309
2000,0.292997,54.608
2100,0.343833,53.869
2200,0.386934,55.038
2300,0.443784,54.833
2400,0.506246,54.614
2500,0.576075,54.246
2600,0.637647,55.128
2700,0.728064,54.069
2800,0.801619,54.769
2900,0.899220,54.245
3000,0.974203,55.430
